index_code,date,open,close,low,high,volume,money,change
sh000001,2015/2/3,3156.09,3204.91,3129.73,3207.94,24819216400.00,283356000000.00,0.02 
sh000001,2015/2/2,3148.14,3128.30,3122.57,3175.13,25086162900.00,266850000000.00,-0.03 
sh000001,2015/1/30,3273.75,3210.36,3210.31,3288.50,25831254800.00,284266000000.00,-0.02 
sh000001,2015/1/29,3259.00,3262.31,3234.24,3286.79,27465861300.00,296424000000.00,-0.01 
sh000001,2015/1/28,3325.72,3305.74,3294.66,3354.80,30192709500.00,341564000000.00,-0.01 
sh000001,2015/1/27,3389.85,3352.96,3290.22,3390.22,37451755100.00,418299000000.00,-0.01 
sh000001,2015/1/26,3347.26,3383.18,3321.32,3384.80,31754100700.00,358427000000.00,0.01 
sh000001,2015/1/23,3357.10,3351.76,3328.29,3406.79,36624924000.00,420980000000.00,0.00 
sh000001,2015/1/22,3327.32,3343.34,3293.98,3352.38,35338296100.00,407874000000.00,0.01 
sh000001,2015/1/21,3189.09,3323.61,3178.34,3337.00,41095602400.00,473759000000.00,0.05 
sh000001,2015/1/20,3114.56,3173.05,3100.48,3190.25,35708081100.00,416295000000.00,0.02 
sh000001,2015/1/19,3189.73,3116.35,3095.07,3262.21,40109878900.00,409886000000.00,-0.08 
sh000001,2015/1/16,3343.60,3376.50,3340.49,3400.32,33987675300.00,392254000000.00,0.01 
sh000001,2015/1/15,3224.07,3336.46,3207.55,3337.08,28254624000.00,330611000000.00,0.04 
sh000001,2015/1/14,3242.34,3222.44,3193.98,3268.48,24019074700.00,267205000000.00,0.00 
sh000001,2015/1/13,3223.54,3235.30,3214.41,3259.39,23072575400.00,273589000000.00,0.00 
sh000001,2015/1/12,3258.21,3229.32,3191.58,3275.19,32206467900.00,366273000000.00,-0.02 
sh000001,2015/1/9,3276.97,3285.41,3267.51,3404.83,41024087200.00,458648000000.00,0.00 
sh000001,2015/1/8,3371.96,3293.46,3285.10,3381.57,37113117000.00,399230000000.00,-0.02 
sh000001,2015/1/7,3326.65,3373.95,3312.21,3374.90,39191888000.00,436417000000.00,0.01 
sh000001,2015/1/6,3330.80,3351.45,3303.18,3394.22,50166169500.00,532398000000.00,0.00 
sh000001,2015/1/5,3258.63,3350.52,3253.88,3369.28,53135239100.00,549760000000.00,0.04 
sh000001,2014/12/31,3172.60,3234.68,3157.26,3239.36,40599852100.00,432320000000.00,0.02 
sh000001,2014/12/30,3160.80,3165.82,3130.35,3190.30,39772532000.00,437263000000.00,0.00 
