index_code,date,open,close,low,high,volume,money,change
sz399006,2015-12-11,2686.3,2671.29,2666.89,2701.69,13643432.0,40853170000.0,-0.00898531261246
sz399006,2015-12-10,2665.27,2695.51,2663.37,2729.24,16327733.0,50231720000.0,0.0103451765614
sz399006,2015-12-09,2677.59,2667.91,2650.45,2699.64,16154545.0,46008650000.0,-0.00882355126576
sz399006,2015-12-08,2723.62,2691.66,2678.66,2731.72,18705171.0,53104320000.0,-0.0169786169494
sz399006,2015-12-07,2699.34,2738.15,2687.02,2751.24,16420046.0,48309130000.0,0.0170829371211
sz399006,2015-12-04,2702.56,2692.16,2679.35,2749.18,17844633.0,57084650000.0,-0.00589338729451
sz399006,2015-12-03,2622.49,2708.12,2622.49,2710.81,17065282.0,50985240000.0,0.0362994879958
sz399006,2015-12-02,2653.24,2613.26,2525.34,2660.11,15900285.0,42837350000.0,-0.0158473114554
sz399006,2015-12-01,2669.3,2655.34,2621.17,2700.35,17104021.0,47434640000.0,-0.00645069558255
sz399006,2015-11-30,2658.97,2672.58,2507.38,2687.05,22206195.0,62131180000.0,0.00869204204488
sz399006,2015-11-27,2819.36,2649.55,2629.12,2844.05,24403851.0,71124930000.0,-0.0648206974446
sz399006,2015-11-26,2911.85,2833.2,2831.38,2915.95,23759483.0,73789880000.0,-0.0222151665016
sz399006,2015-11-25,2813.51,2897.57,2806.82,2906.8,24705878.0,78107330000.0,0.0289483496387
sz399006,2015-11-24,2767.72,2816.05,2739.52,2816.05,19467264.0,57396110000.0,0.0164117260646
sz399006,2015-11-23,2797.12,2770.58,2759.31,2839.84,25839668.0,72793080000.0,-0.0105601485635
sz399006,2015-11-20,2783.04,2800.15,2757.84,2817.96,28888696.0,79683010000.0,0.010610845439
sz399006,2015-11-19,2678.35,2770.75,2676.75,2770.75,22563937.0,64197540000.0,0.0411773768681
sz399006,2015-11-18,2727.61,2661.17,2655.06,2741.33,19646365.0,56844600000.0,-0.0205664231427
sz399006,2015-11-17,2834.98,2717.05,2711.58,2847.9,28119738.0,82923630000.0,-0.0286397631884
sz399006,2015-11-16,2656.57,2797.16,2654.64,2797.16,20974444.0,59082750000.0,0.0321014257461
sz399006,2015-11-13,2751.39,2710.16,2681.61,2772.81,25001146.0,68218120000.0,-0.0262781590199
sz399006,2015-11-12,2818.57,2783.3,2743.26,2827.71,28310939.0,83094740000.0,-0.00762297303079
sz399006,2015-11-11,2738.58,2804.68,2730.52,2806.54,27655097.0,73818610000.0,0.0211424264821
sz399006,2015-11-10,2710.9,2746.61,2700.29,2783.12,24161190.0,71799080000.0,0.00807085024701
sz399006,2015-11-09,2653.31,2724.62,2612.26,2747.79,25798448.0,79976260000.0,0.0237505683078
sz399006,2015-11-06,2571.66,2661.41,2571.66,2666.4,2414936998.0,71296028997.0,0.0376999924358
sz399006,2015-11-05,2587.82,2564.72,2542.85,2630.83,2580920781.0,77257734308.0,-0.00758227415599
sz399006,2015-11-04,2451.23,2584.32,2451.23,2584.32,2282796525.0,66281513781.0,0.0638245234165
sz399006,2015-11-03,2444.05,2429.27,2407.55,2461.33,1364659661.0,40273684707.0,-0.0011381401113
sz399006,2015-11-02,2416.1,2432.04,2408.78,2513.32,1584004123.0,45893022739.0,-0.0186577206664
sz399006,2015-10-30,2475.23,2478.28,2439.16,2534.47,1740871450.0,51300124522.0,-0.0028161862103
sz399006,2015-10-29,2504.85,2485.28,2436.78,2528.7,1405144400.0,43473846073.0,1.6497433844e-05
sz399006,2015-10-28,2551.7,2485.24,2473.47,2583.82,1901205124.0,58622813437.0,-0.0307037010747
sz399006,2015-10-27,2497.16,2563.96,2423.6,2586.95,2093616666.0,62128595943.0,0.014433761415
sz399006,2015-10-26,2570.13,2527.48,2481.59,2570.13,2466063913.0,70664797122.0,-0.00429643595943
sz399006,2015-10-23,2488.31,2538.38,2461.49,2549.76,2526948862.0,72792974353.0,0.032644627763
sz399006,2015-10-22,2355.16,2458.14,2355.16,2465.1,2209272749.0,61890922732.0,0.0483627182545
